Time stamp,"Reward Single base, no spawns",Reward Greedy agents - many spawns and conversions,"Reward Self play optimum 1 - single base, conservative start"
2020-04-24 15:50:24.165517,0.99,0.94,0.81
2020-04-24 15:52:44.665088,0.99,0.92,0.74
2020-04-24 15:55:04.469873,0.97,0.84,0.66
2020-04-24 15:57:37.843439,1.0,0.92,0.82
2020-04-24 15:59:56.670506,0.71,0.65,0.22
2020-04-24 16:02:30.101895,0.99,0.96,0.76
2020-04-24 16:04:44.861065,1.0,0.9,0.73
2020-04-24 16:07:15.724533,0.9,0.65,0.28
2020-04-24 16:09:37.274746,1.0,0.96,0.74
2020-04-24 16:12:00.870249,0.99,0.93,0.8
2020-04-24 16:14:24.114415,1.0,0.93,0.72
2020-04-24 16:16:48.669740,1.0,0.97,0.71
2020-04-24 16:19:12.228789,0.99,0.97,0.8
2020-04-24 16:21:33.278056,0.99,0.96,0.79
2020-04-24 16:23:51.771633,0.99,0.93,0.74
2020-04-24 16:26:05.054854,0.99,0.88,0.75
2020-04-24 16:28:22.207120,0.97,0.93,0.77
2020-04-24 16:30:43.946721,0.98,0.93,0.64
2020-04-24 16:33:09.508927,1.0,0.93,0.6
2020-04-24 16:35:39.943966,1.0,0.92,0.68
2020-04-24 16:38:09.125325,1.0,0.94,0.59
2020-04-24 16:40:41.679524,1.0,0.94,0.79
2020-04-24 16:43:17.466026,0.92,0.82,0.49
2020-04-24 16:45:45.707106,1.0,0.94,0.81
2020-04-24 16:48:09.745675,0.97,0.88,0.78
2020-04-24 16:50:29.944718,0.99,0.9,0.75
2020-04-24 16:53:06.873076,0.55,0.32,0.06
2020-04-24 16:55:33.179258,1.0,0.92,0.59
2020-04-24 16:57:57.807142,0.99,0.92,0.74
2020-04-24 17:00:24.860691,0.99,0.95,0.59
2020-04-24 17:03:06.461652,0.69,0.43,0.07
2020-04-24 17:05:36.928774,0.99,0.96,0.76
2020-04-24 17:08:07.504848,0.98,0.92,0.73
2020-04-24 17:10:44.585164,0.99,0.89,0.47
2020-04-24 17:13:11.995336,1.0,0.9,0.66
2020-04-24 17:15:34.571147,0.96,0.87,0.7
2020-04-24 17:17:53.481607,0.97,0.87,0.78
2020-04-24 17:20:18.175333,0.97,0.93,0.62
2020-04-24 17:22:41.612107,0.99,0.95,0.74
2020-04-24 17:25:08.016817,0.97,0.9,0.7
2020-04-24 17:27:29.176621,0.98,0.96,0.75
2020-04-24 17:29:55.870569,0.98,0.93,0.71
2020-04-24 17:32:25.364717,0.99,0.88,0.67
2020-04-24 17:34:57.351660,0.99,0.94,0.75
2020-04-24 17:37:31.828842,0.99,0.94,0.65
2020-04-24 17:40:06.918359,1.0,0.95,0.76
2020-04-24 17:42:35.931309,0.98,0.94,0.83
2020-04-24 17:45:02.223385,0.99,0.95,0.67
2020-04-24 17:47:27.588269,0.99,0.92,0.68
2020-04-24 17:49:54.477217,0.98,0.88,0.66
2020-04-24 17:52:17.967829,0.99,0.97,0.81
2020-04-24 17:54:42.071331,1.0,0.94,0.86
2020-04-24 17:57:05.278867,0.99,0.95,0.75
2020-04-24 17:59:27.293760,0.99,0.94,0.72
