,Num Losses,Num Losses,Num Losses,Num Losses,Num Losses,Num Losses,Num Losses,Num Losses,Num Losses,Num Losses,Num Losses,Num Losses,Num Losses
Submission,17114281,17114329,17168045,17170621,17170654,17170690,17171012,17183645,17187266,17190682,17190822,17190934,17195646
Game id,,,,,,,,,,,,,
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
24,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
28,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
29,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
30,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,
31,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,,0.0,
32,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,0.0,
33,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,,,,
34,2.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,,,,
35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
37,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
39,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
40,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
41,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
42,1.0,1.0,0.0,2.0,0.0,3.0,1.0,,,,,,
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
44,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,
45,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,
46,1.0,1.0,,0.0,2.0,1.0,0.0,,,,,,
47,2.0,1.0,,0.0,0.0,,0.0,,,,,,
48,0.0,2.0,,0.0,0.0,,,,,,,,
49,0.0,1.0,,,0.0,,,,,,,,
50,0.0,1.0,,,0.0,,,,,,,,
51,0.0,0.0,,,0.0,,,,,,,,
52,0.0,1.0,,,0.0,,,,,,,,
53,1.0,0.0,,,,,,,,,,,
54,2.0,1.0,,,,,,,,,,,
55,0.0,0.0,,,,,,,,,,,
56,0.0,1.0,,,,,,,,,,,
57,0.0,1.0,,,,,,,,,,,
58,0.0,2.0,,,,,,,,,,,
59,0.0,0.0,,,,,,,,,,,
60,1.0,1.0,,,,,,,,,,,
61,1.0,0.0,,,,,,,,,,,
62,0.0,0.0,,,,,,,,,,,
63,0.0,1.0,,,,,,,,,,,
64,0.0,1.0,,,,,,,,,,,
65,0.0,0.0,,,,,,,,,,,
66,1.0,1.0,,,,,,,,,,,
67,3.0,1.0,,,,,,,,,,,
68,1.0,0.0,,,,,,,,,,,
69,1.0,0.0,,,,,,,,,,,
70,2.0,0.0,,,,,,,,,,,
71,0.0,1.0,,,,,,,,,,,
72,1.0,1.0,,,,,,,,,,,
73,1.0,0.0,,,,,,,,,,,
74,1.0,0.0,,,,,,,,,,,
75,1.0,0.0,,,,,,,,,,,
76,2.0,0.0,,,,,,,,,,,
77,1.0,1.0,,,,,,,,,,,
78,,0.0,,,,,,,,,,,
79,,0.0,,,,,,,,,,,
80,,1.0,,,,,,,,,,,
