Time stamp,Reward Self play rule_actions_v2 optimum 3
2020-06-29 06:52:59.157455,0.47
2020-06-29 06:58:38.677844,0.5
2020-06-29 07:04:26.210717,0.48
2020-06-29 07:10:16.102201,0.52
2020-06-29 07:16:10.405878,0.51
2020-06-29 07:21:09.854613,0.48
