Average reward self play,Average reward previous iterations,Average evaluation reward,Fraction of unique states,Experience buffer size,Mean loss,Average self play episode length,Data agent path
0.4999999999999998,-1,0.4966666666666667,1.0,329879,3.3740045837457274e-06,207.875,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_1.h5
0.5399999999999998,-1,0.6666666666666669,1.0,328700,3.435750198445428e-06,231.635,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_1.h5
0.52,-1,0.6133333333333334,1.0,319437,3.3476734544597612e-06,187.22,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_1.h5
0.56,-1,0.7133333333333334,1.0,320694,3.2725639882224288e-06,205.77,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_1.h5
0.5066666666666666,-1,0.5133333333333332,1.0,317309,3.1507929984531992e-06,199.695,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_1.h5
0.6066666666666667,-1,0.4933333333333333,1.0,313370,3.0192452757684446e-06,194.425,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_1.h5
0.5133333333333332,-1,0.5533333333333333,1.0,325031,3.0286679410083128e-06,207.58,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_1.h5
0.5466666666666665,-1,0.6,1.0,327293,2.9833552121703263e-06,197.125,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_1.h5
0.62,-1,0.5066666666666667,1.0,327218,2.963949650203035e-06,195.59,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_1.h5
0.5433333333333333,-1,0.6033333333333334,1.0,324705,2.9388027931885893e-06,198.95,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_1.h5
0.5866666666666664,-1,0.5099999999999999,1.0,320505,2.9058498074616983e-06,199.87,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_1.h5
0.5533333333333333,-1,0.5666666666666668,1.0,320859,3.0067381947209324e-06,217.245,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_1.h5
0.4999999999999998,-1,0.6066666666666667,1.0,325675,3.0689386038933973e-06,220.955,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_1.h5
0.5866666666666668,-1,0.5799999999999998,1.0,327770,2.9610810330300917e-06,204.745,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_1.h5
0.6066666666666666,-1,0.5533333333333333,1.0,328540,2.9389935434445306e-06,190.48,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_1.h5
0.56,-1,0.4266666666666666,1.0,328299,2.8881239479534403e-06,205.935,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_1.h5
0.5666666666666667,-1,0.5466666666666665,1.0,330696,2.829394680495848e-06,218.31,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_1.h5
0.43666666666666665,-1,0.4833333333333333,1.0,329627,2.763861945731846e-06,195.88,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_1.h5
0.5466666666666667,-1,0.5199999999999999,1.0,332460,2.816855488884924e-06,213.95,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_1.h5
0.5599999999999998,-1,0.5299999999999998,1.0,331717,2.931463230660681e-06,202.57,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_1.h5
0.6066666666666666,-1,0.6399999999999999,1.0,327495,2.893186674362752e-06,205.67,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_1.h5
