halite_config_setting_divisor,collect_smoothed_multiplier,collect_actual_multiplier,collect_less_halite_ships_multiplier_base,collect_base_nearest_distance_exponent,return_base_multiplier,return_base_less_halite_ships_multiplier_base,early_game_return_base_additional_multiplier,early_game_return_boost_step,establish_base_smoothed_multiplier,establish_first_base_smoothed_multiplier_correction,establish_base_deposit_multiplier,establish_base_less_halite_ships_multiplier_base,max_attackers_per_base,attack_base_multiplier,attack_base_less_halite_ships_multiplier_base,attack_base_halite_sum_multiplier,attack_base_run_enemy_multiplier,attack_base_catch_enemy_multiplier,collect_run_enemy_multiplier,return_base_run_enemy_multiplier,establish_base_run_enemy_multiplier,collect_catch_enemy_multiplier,return_base_catch_enemy_multiplier,establish_base_catch_enemy_multiplier,two_step_avoid_boxed_enemy_multiplier_base,n_step_avoid_boxed_enemy_multiplier_base,ignore_catch_prob,max_ships,max_spawns_per_step,nearby_ship_halite_spawn_constant,nearby_halite_spawn_constant,remaining_budget_spawn_constant,spawn_score_threshold,boxed_in_halite_convert_divisor,n_step_avoid_min_die_prob_cutoff,n_step_avoid_window_size,influence_map_base_weight,influence_map_min_ship_weight,influence_weights_additional_multiplier,influence_weights_exponent,max_spawn_relative_step_divisor,terminal_num_ships,terminal_num_bases,episode_reward,terminal_halite
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,19,3,1.0,44140.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,16,5,1.0,37616.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,16,3,1.0,48015.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,15,3,1.0,37967.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,14,3,1.0,47636.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,16,3,1.0,39460.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,17,3,1.0,38863.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,12,4,1.0,33140.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,18,4,1.0,43790.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,17,5,1.0,46067.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,10,2,1.0,31345.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,15,3,1.0,33614.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,13,1,1.0,25917.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,17,2,1.0,47452.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,16,3,1.0,41150.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,17,3,1.0,38122.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,14,3,1.0,38040.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,13,3,1.0,30619.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,15,2,1.0,35430.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,19,6,1.0,43858.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,15,6,1.0,36643.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,11,5,1.0,32758.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,15,5,1.0,36408.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,15,3,1.0,42894.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,16,5,1.0,39156.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,15,5,1.0,41973.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,13,1,1.0,34658.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,18,4,1.0,51422.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,17,4,1.0,36591.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,16,3,1.0,45941.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,16,1,1.0,38055.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,17,3,0.6666666666666666,34788.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,16,3,1.0,38789.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,18,3,1.0,32718.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,16,7,1.0,37068.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,13,2,1.0,16913.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,17,3,1.0,32989.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,15,3,1.0,44325.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,13,4,0.6666666666666666,25869.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,16,4,1.0,35627.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,13,4,1.0,30779.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,17,4,1.0,52029.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,19,3,1.0,44642.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,13,4,1.0,40805.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,15,3,1.0,32168.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,13,3,1.0,35566.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,19,3,1.0,33451.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,16,3,1.0,41589.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,13,4,1.0,39500.0
1.0,0.02,5.0,0.55,0.1,8.0,0.85,0.1,50,0.0,2.5,1.0,1.0,3,200.0,0.9,1.0,1.0,1.0,10.0,2.0,2.5,1.0,1.0,0.5,0.8,0.45,0.5,20,1,3.0,5.0,0.2,75.0,1.0,0.1,7,1.5,0.0,4.0,8.0,100.0,14,5,0.3333333333333333,25028.0
