halite_config_setting_divisor,min_spawns_after_conversions,collect_smoothed_multiplier,collect_actual_multiplier,return_base_multiplier,establish_base_smoothed_multiplier,establish_base_deposit_multiplier,collect_run_enemy_multiplier,return_base_run_enemy_multiplier,establish_base_run_enemy_multiplier,collect_catch_enemy_multiplier,return_base_catch_enemy_multiplier,establish_base_catch_enemy_multiplier,ignore_catch_prob,max_ships,max_spawns_per_step,nearby_ship_halite_spawn_constant,nearby_halite_spawn_constant,remaining_budget_spawn_constant,spawn_score_threshold,max_spawn_relative_step_divisor,Average win rate
1.0000000000530964,2.0,0.622709752629437,6.466799410716572,4.293719158275696,0.9805562626779386,0.12806865631419742,0.008184803527521158,2.9301754610904345,1.2114532963978006,0.3043350919666077,2.630751286530566,0.5779435420647834,0.3986890034202697,19.0,2.0,1.2967364365052971,6.549008581855725,0.0945285150750746,23.145416172431606,15.121820439939482,-0.0
1.0000000000124043,2.0,0.2275710180179569,7.918092688268273,4.361983570983629,0.4311910356801504,0.03673781850891634,0.30638841760282426,0.4582071969044516,1.956490552881029,2.616620060756394,2.1550171996483107,3.7472445545468696,0.12249655728394085,13.0,5.0,1.0778215614239288,9.894401399346098,0.003466022422458552,3.833156226348785,27.49017510598166,0.0066666666666666645
1.000000000048622,3.0,0.626689154000758,3.2186502287533703,3.688643980412136,0.7960318544255912,0.3887230243948567,2.106265193681374,4.910817772806508,1.4236944244409977,4.57647867247429,4.847969965011768,1.5554867412559783,0.491274197702715,15.0,2.0,0.8259699599681434,14.565227827184605,0.050832751843255336,0.9049874434714992,2.6186646923509995,0.2866666666666666
1.0000000000941267,2.0,0.16725649619117092,4.963498220404532,4.726722121922185,0.4166671775493912,0.17574019676254418,0.6535907089055982,4.4916812280509415,0.4429093736688439,0.7441584374558675,4.720315215815847,1.4774980549475212,0.4999214748330941,16.0,5.0,0.97720851120895,7.673667927398982,0.005387797713673146,17.916242923678034,26.543699933731762,0.4066666666666666
1.0000000000351488,1.0,0.4664143072068395,1.4710721113723604,0.0643702438626992,0.5041068176945133,0.9454847396766308,1.0856861189202196,4.98211172107244,2.1967626664364657,0.2244842456514379,1.1765308038278786,4.435306868873254,0.2575490879483556,10.0,4.0,1.5508229966879594,8.096953132426133,0.07801384423276571,23.721619751047875,4.490931957992153,0.053333333333333316
1.0000000000831304,2.0,0.8474797235551631,2.800160784838033,1.9451741753495373,0.980857779473146,0.2044115645928876,0.902741222807641,3.3480564788947325,4.412571101746232,3.8029203928256106,1.941279422342104,2.811085841147356,0.2483441843688817,11.0,5.0,0.4080491925288138,1.0944090025081057,0.045392700518673744,2.1636721785217454,8.008568368802745,0.1
1.0000000000668121,2.0,0.8598183489085995,7.618058774678454,0.33244702008949584,0.7764851545674178,0.5350578963628718,2.446215109608339,0.5953043148328979,4.2629033225643065,2.3729679284591736,1.550211966625913,1.5548163352830169,0.17288694297097018,19.0,3.0,1.6959166672756592,17.301251609477607,0.08771956329614937,30.30110818069008,23.49890681643393,0.06666666666666668
1.0000000000059197,3.0,0.4459675092246996,2.5723354920306156,1.9753146518515536,0.11638397864812615,0.3919635750131565,3.602597855784578,3.732501572731968,1.027060745050412,3.1801790925421387,1.3803808398670128,0.9351461298825876,0.35252872962611626,20.0,4.0,1.7158195148275424,8.584334724608123,0.03797066974436037,7.604856219998764,3.796265851990088,0.3
1.0000000000572284,3.0,0.6084101668571298,9.628505092411096,1.5907241725665386,0.4894135840013753,0.5154890523156748,3.489196070851164,3.274262392652998,1.7268039318082482,0.0872063359068831,3.1769758897413896,0.742893629063019,0.2311869745325288,19.0,4.0,1.5225978405622698,3.8821712580347127,0.008453784532192726,38.60288548838095,22.10770104806438,0.14333333333333334
1.00000000007808,2.0,0.2261973794261445,4.977860204323732,2.196013160671188,0.41152230945720536,0.6362604510060297,4.720208335217661,3.4967897301186306,2.08921964513745,4.543043956166296,2.6959040221652373,1.179813577174055,0.427150116278181,17.0,1.0,0.5172222785857802,9.899863453547619,0.049102146781106346,12.370490585465555,19.86848802858538,0.2933333333333333
