Time stamp,Average reward self play,Average reward previous iterations,Average evaluation reward,Average final halite self play,Median final halite self play,Average halite change per step self play,Fraction of unique states,Average action fraction self play,Experience buffer size,Mean loss,Average self play episode length,Data agent path
2020-04-18 13:02:15.618620,0.38666666666666666,-1,0.28,91,0.0,-35,1.0,[0.197 0.033 0.278 0.037 0.003 0.026 0.025 0.011 0.39 ],326760,1.2880120044955564e-07,176.16,"/home/tom/Kaggle/Halite/Logic/../Agents/Mirror input, add learned global features/iteration_3.h5"
2020-04-18 13:16:28.303669,0.4266666666666666,-1,0.3300000000000001,1543,0.0,-18,1.0,[0.12  0.114 0.037 0.154 0.002 0.074 0.113 0.015 0.372],335851,1.2865356603982902e-07,207.095,"/home/tom/Kaggle/Halite/Logic/../Agents/Mirror input, add learned global features/iteration_3.h5"
2020-04-18 13:31:01.938511,0.6166666666666668,-1,0.4833333333333333,87262,18.0,322,1.0,[0.052 0.109 0.034 0.031 0.005 0.234 0.034 0.024 0.478],336781,1.0709984442341462e-07,216.61,"/home/tom/Kaggle/Halite/Logic/../Agents/Mirror input, add learned global features/iteration_3.h5"
2020-04-18 13:45:09.016251,0.5700000000000002,-1,0.4633333333333334,8978,0.0,18,1.0,[0.061 0.155 0.036 0.14  0.004 0.128 0.042 0.019 0.415],336610,1.0309622907380012e-07,200.49,"/home/tom/Kaggle/Halite/Logic/../Agents/Mirror input, add learned global features/iteration_3.h5"
2020-04-18 13:59:23.611502,0.5866666666666667,-1,0.4100000000000001,8154,0.0,13,1.0,[0.098 0.096 0.046 0.124 0.003 0.104 0.097 0.016 0.416],346264,9.811181091338985e-08,203.38,"/home/tom/Kaggle/Halite/Logic/../Agents/Mirror input, add learned global features/iteration_3.h5"
2020-04-18 14:13:22.132552,0.4766666666666667,-1,0.4366666666666667,39601,0.0,228,1.0,[0.077 0.042 0.039 0.026 0.008 0.287 0.045 0.064 0.413],343329,8.992133094756117e-08,162.365,"/home/tom/Kaggle/Halite/Logic/../Agents/Mirror input, add learned global features/iteration_3.h5"
2020-04-18 14:27:18.116258,0.4966666666666666,-1,0.4066666666666667,54246,0.0,261,1.0,[0.153 0.044 0.029 0.055 0.006 0.227 0.028 0.023 0.435],338138,9.515062563738416e-08,196.105,"/home/tom/Kaggle/Halite/Logic/../Agents/Mirror input, add learned global features/iteration_3.h5"
2020-04-18 14:42:10.968708,0.6333333333333334,-1,0.5466666666666665,39977,76.5,135,1.0,[0.074 0.145 0.032 0.03  0.007 0.176 0.027 0.038 0.47 ],343009,9.43408308269996e-08,220.43,"/home/tom/Kaggle/Halite/Logic/../Agents/Mirror input, add learned global features/iteration_3.h5"
2020-04-18 14:55:15.813156,0.5066666666666667,-1,0.4400000000000001,126,0.0,-27,1.0,[0.141 0.043 0.11  0.209 0.003 0.026 0.022 0.008 0.439],333873,8.674259181654477e-08,181.14,"/home/tom/Kaggle/Halite/Logic/../Agents/Mirror input, add learned global features/iteration_3.h5"
2020-04-18 15:09:07.094179,0.6266666666666668,-1,0.3899999999999999,10804,0.0,25,1.0,[0.104 0.092 0.069 0.111 0.003 0.079 0.122 0.015 0.406],333356,8.012833071963654e-08,191.04,"/home/tom/Kaggle/Halite/Logic/../Agents/Mirror input, add learned global features/iteration_3.h5"
2020-04-18 15:24:16.960127,0.6666666666666667,-1,0.4933333333333334,50103,62.0,166,1.0,[0.163 0.143 0.032 0.027 0.006 0.108 0.027 0.053 0.443],342303,7.497550509750625e-08,216.105,"/home/tom/Kaggle/Halite/Logic/../Agents/Mirror input, add learned global features/iteration_3.h5"
2020-04-18 15:40:01.003587,0.7066666666666669,-1,0.56,6522,0.0,5,1.0,[0.095 0.163 0.023 0.041 0.003 0.154 0.037 0.014 0.469],348741,7.42198189018356e-08,225.29,"/home/tom/Kaggle/Halite/Logic/../Agents/Mirror input, add learned global features/iteration_3.h5"
2020-04-18 15:55:38.735585,0.7133333333333334,-1,0.5,87278,137.5,315,1.0,[0.031 0.059 0.032 0.039 0.008 0.25  0.026 0.045 0.51 ],366834,8.143614736870201e-08,208.94,"/home/tom/Kaggle/Halite/Logic/../Agents/Mirror input, add learned global features/iteration_3.h5"
2020-04-18 16:09:25.082598,0.5166666666666667,-1,0.47,18700,0.0,71,1.0,[0.052 0.191 0.043 0.038 0.003 0.116 0.099 0.016 0.441],365302,7.92154757075894e-08,179.04,"/home/tom/Kaggle/Halite/Logic/../Agents/Mirror input, add learned global features/iteration_3.h5"
2020-04-18 16:24:40.748648,0.5000000000000001,-1,0.3666666666666666,14766,0.0,41,1.0,[0.265 0.08  0.084 0.062 0.004 0.032 0.034 0.022 0.417],365517,7.557073031002578e-08,217.85,"/home/tom/Kaggle/Halite/Logic/../Agents/Mirror input, add learned global features/iteration_3.h5"
2020-04-18 16:41:14.425465,0.6733333333333335,-1,0.6,75763,30.0,243,1.0,[0.038 0.041 0.109 0.063 0.007 0.193 0.023 0.044 0.483],370933,6.895192936903759e-08,240.915,"/home/tom/Kaggle/Halite/Logic/../Agents/Mirror input, add learned global features/iteration_3.h5"
2020-04-18 16:58:00.971626,0.59,-1,0.39666666666666656,71555,43.0,264,1.0,[0.082 0.117 0.069 0.034 0.007 0.147 0.054 0.062 0.427],377871,6.557848472701348e-08,231.135,"/home/tom/Kaggle/Halite/Logic/../Agents/Mirror input, add learned global features/iteration_4.h5"
2020-04-18 17:15:39.106344,0.6866666666666668,-1,0.5466666666666665,54520,110.5,170,1.0,[0.04  0.044 0.056 0.048 0.008 0.214 0.037 0.062 0.49 ],404222,8.038143598196977e-08,232.79,"/home/tom/Kaggle/Halite/Logic/../Agents/Mirror input, add learned global features/iteration_4.h5"
2020-04-18 17:33:50.259810,0.6266666666666666,-1,0.4133333333333332,53715,180.0,178,1.0,[0.026 0.028 0.036 0.052 0.006 0.256 0.055 0.051 0.491],424186,1.0215463729923184e-07,251.49,"/home/tom/Kaggle/Halite/Logic/../Agents/Mirror input, add learned global features/iteration_4.h5"
2020-04-18 17:49:26.773563,0.3933333333333333,-1,0.26,10478,0.0,36,1.0,[0.269 0.081 0.037 0.046 0.005 0.043 0.062 0.029 0.429],413398,1.003964026402083e-07,194.275,"/home/tom/Kaggle/Halite/Logic/../Agents/Mirror input, add learned global features/iteration_4.h5"
2020-04-18 18:05:07.818476,0.4066666666666667,-1,0.2666666666666667,2132,0.0,-19,1.0,[0.184 0.095 0.056 0.091 0.003 0.067 0.128 0.015 0.362],404273,1.0187086416017571e-07,179.925,"/home/tom/Kaggle/Halite/Logic/../Agents/Mirror input, add learned global features/iteration_4.h5"
2020-04-18 18:22:09.485056,0.5,-1,0.35666666666666685,17262,0.0,52,1.0,[0.05  0.039 0.259 0.078 0.004 0.095 0.022 0.013 0.44 ],399550,1.0321853608301204e-07,217.18,"/home/tom/Kaggle/Halite/Logic/../Agents/Mirror input, add learned global features/iteration_4.h5"
