halite_config_setting_divisor,min_spawns_after_conversions,max_conversions_per_step,friendly_ship_halite_conversion_constant,friendly_bases_conversion_constant,nearby_halite_conversion_constant,conversion_score_threshold,halite_collect_constant,nearby_halite_move_constant,nearby_ships_move_constant,nearby_base_move_constant,nearby_move_onto_base_constant,halite_dropoff_constant,max_spawns_per_step,nearby_ship_halite_spawn_constant,nearby_halite_spawn_constant,spawn_score_threshold,terminal_num_ships,terminal_num_bases,episode_reward
2220.136590211901,0,7,8.821914716154798e-05,3.90211051104024,0.00011120737482647251,0.053023349101823485,0.004143820913212813,0.0003712076702362434,0.11220258615971188,0.0002713761658771265,0.006844901798125661,0.004081199975492743,4,0.0008828698811531508,0.0008897308742315752,9.727970712499177,0,0,0.0
6666.674574452291,0,9,5.2758966653614425e-05,9.009696601635405,1.3381430033225044e-05,1.9663879926845924,0.001305224935608675,0.00012402095512415083,0.5856474531502684,0.0003343428686275038,0.0025678445899730644,0.0014810269942953124,7,0.00027400718155103906,0.0004192991615084667,5.585537292210934,11,4,0.3333333333333333
1153.868370479736,2,4,0.00026829683852602103,8.353121248551345,0.00012535454007851185,3.989365212373248,0.006574382894585164,0.0010070001718676964,0.3064844162822412,0.0019765159361988848,0.011447224463448341,0.012356200562459294,4,0.00238515504176172,0.002118228420898678,4.901183355827459,1,3,0.6666666666666666
9045.050525527318,2,8,4.769612472934665e-05,7.5147241408076875,6.720508739986181e-06,1.1922930281454822,0.0007355804474001164,0.00011862447016655031,0.4874244788678495,0.0002031315448225464,0.0020225663939429568,0.000665205299213356,8,0.0003105800680313804,0.00014226253310809084,9.225000254401873,9,2,1.0
6824.686509310865,0,3,1.4714603506899769e-05,3.2983266209980697,1.3611107210201961e-05,7.25936483848321,0.0008282677194325277,0.00028627713799212715,0.7042038972785976,0.0003059652810434077,0.0020369868982837483,0.0017259963743088205,8,5.458510134038364e-05,0.0003616577624571279,6.544052873736101,0,0,0.0
1494.9881712859362,2,8,0.00029614016834331804,5.6353513538819975,0.00018262834832680124,8.249968201069963,0.0038224792424828937,0.0006959697283867968,0.6134651999393103,0.0015033877275964149,0.012116649668450604,0.005537223781645907,4,0.000805066140032327,0.0015540647113387127,1.9992400469747604,4,1,0.6666666666666666
7198.868784514936,3,7,2.4436043523420265e-05,2.830518411627964,4.135381550373849e-05,1.1575628796914623,0.0009526059396657512,0.00034838023268901966,0.13158657324948678,0.00023143448130565254,0.0021638001167673233,0.0018536535902177352,8,0.00014188004669185022,0.00035114381651712827,-0.2955728866524397,6,1,1.0
5450.322200490632,1,8,4.915363007425625e-05,8.02184864347263,1.8329516683465147e-05,7.512980741231114,0.0011361641956346162,0.000306163060770643,0.7977540996008253,0.00016144130462284102,0.0027923457636063703,0.0013955717714341153,5,0.00020681805576724168,0.00045340727396156553,1.9532918674578257,5,1,0.3333333333333333
6618.87325162631,0,3,4.8000249720243014e-05,5.871232469791558,1.9806779908111406e-05,-0.7034342828740746,0.0007714617531665137,9.227190934499232e-05,0.4311213778808151,0.0002157884144308335,0.001353690851307305,0.0023285476660087315,7,0.00021826600321158936,0.00024373073467045235,7.7056775270385875,1,1,0.3333333333333333
9933.381435737248,2,4,1.0242257563824233e-05,3.844620724955651,1.2815282824487647e-05,9.484547124514515,0.00023167526888038444,5.899815561867848e-05,0.7248050194900367,0.00019453146911931128,0.0016119486468771408,0.0005500508687452425,3,6.330018431045411e-05,3.3310198180446146e-05,2.681012915396842,6,1,0.6666666666666666
