Average reward self play,Average reward previous iterations,Average evaluation reward,Average final halite self play,Median final halite self play,Average halite change per step self play,Fraction of unique states,Experience buffer size,Mean loss,Average self play episode length,Data agent path,Time stamp
0.5933333333333335,-1,0.5,127769,15.5,523,1.0,364479,8.589060858376548e-08,207.365,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-17 21:30:46.949138
0.34666666666666673,-1,0.22,43,0.0,-29,1.0,346531,8.632344850108183e-08,197.42,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-17 21:40:03.529930
0.5466666666666667,-1,0.4533333333333334,38869,0.0,138,1.0,370819,8.183172530522318e-08,225.255,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-17 21:51:03.961971
0.34666666666666673,-1,0.25666666666666665,14054,0.0,61,1.0,358336,7.863837889953942e-08,173.73,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-17 22:00:46.568939
0.25666666666666665,-1,0.20666666666666664,809,0.0,-36,1.0,345682,7.652476905360979e-08,180.935,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-17 22:10:13.249243
0.3133333333333333,-1,0.21666666666666667,5972,0.0,7,1.0,345013,6.885639523451316e-08,187.495,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-17 22:19:21.045497
0.36,-1,0.2333333333333333,82,0.0,-36,1.0,321317,7.087148852638893e-08,166.82,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-17 22:28:11.392225
0.3333333333333332,-1,0.2766666666666666,120,0.0,-35,1.0,308924,6.27643103089137e-08,163.3,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-17 22:36:30.044945
0.48,-1,0.4066666666666666,10748,0.0,24,1.0,324321,5.914070457741277e-08,230.855,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-17 22:47:00.350049
0.2633333333333333,-1,0.14333333333333334,1858,0.0,-34,1.0,315113,5.965551825191264e-08,177.25,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-17 22:55:15.768239
0.3933333333333332,-1,0.19,4026,0.0,-5,1.0,329541,5.208451258938965e-08,219.635,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-17 23:05:16.691568
0.3633333333333333,-1,0.25,749,0.0,-27,1.0,340217,5.963227579016008e-08,188.27,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-17 23:14:42.281263
0.44,-1,0.3666666666666665,3773,0.0,-4,1.0,341003,5.971631038826015e-08,225.89,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-17 23:25:23.734688
0.26,-1,0.15333333333333332,6,0.0,-46,1.0,347885,4.900823803664436e-08,162.425,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-17 23:34:16.593796
0.5133333333333333,-1,0.5133333333333333,20843,0.0,56,1.0,361745,4.677406508773157e-08,237.585,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-17 23:45:44.546487
0.38666666666666655,-1,0.24000000000000005,3664,0.0,-5,1.0,373531,5.818061320502236e-08,219.075,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-17 23:56:12.648286
0.3766666666666666,-1,0.22999999999999995,7212,0.0,13,1.0,356422,6.11091310539122e-08,210.335,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-18 00:05:37.317368
0.5133333333333333,-1,0.4133333333333333,11636,0.0,26,1.0,376127,7.049688849004914e-08,218.17,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-18 00:16:20.785783
0.5733333333333334,-1,0.45,67654,48.5,250,1.0,373211,7.185842051908562e-08,243.785,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-18 00:27:37.028822
0.6266666666666667,-1,0.4866666666666666,104703,0.0,433,1.0,371594,6.526429165702673e-08,208.73,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-18 00:38:04.602969
0.37666666666666665,-1,0.2833333333333333,66,0.0,-39,1.0,367972,8.368412247179643e-08,179.095,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-18 00:47:10.979979
0.24,-1,0.20666666666666667,2371,0.0,-22,1.0,353248,9.111309196074622e-08,190.66,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-18 00:56:41.883732
0.4133333333333333,-1,0.2633333333333333,655,0.0,-22,1.0,331968,9.338520520723004e-08,198.305,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-18 01:06:03.015404
0.5866666666666668,-1,0.4266666666666665,17139,3.5,49,1.0,337535,8.593834536377322e-08,208.75,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-18 01:16:44.895641
0.2833333333333333,-1,0.18,139,0.0,-63,1.0,334421,6.812101792165341e-08,171.855,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-18 01:25:23.699692
0.2666666666666666,-1,0.1733333333333333,22,0.0,-36,1.0,333074,7.433485806551213e-08,188.005,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-18 01:34:34.838858
0.3533333333333333,-1,0.25666666666666665,492,0.0,-31,1.0,328239,8.35985268364195e-08,175.725,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-18 01:43:23.209872
0.3600000000000001,-1,0.18,9969,0.0,32,1.0,312399,8.343405728887775e-08,178.01,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-18 01:52:39.858162
0.3066666666666667,-1,0.10666666666666667,160,0.0,-34,1.0,317168,9.601986749771946e-08,178.23,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-18 02:01:35.297521
0.3,-1,0.14,463,0.0,-31,1.0,325391,8.16821306680126e-08,194.025,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-18 02:11:27.484371
0.4633333333333335,-1,0.31999999999999995,8966,0.0,26,1.0,328229,7.199988090392839e-08,170.0,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-18 02:20:28.539149
