halite_config_setting_divisor,min_spawns_after_conversions,collect_smoothed_multiplier,collect_actual_multiplier,collect_less_halite_ships_multiplier,return_base_multiplier,return_base_less_halite_ships_multiplier,early_game_return_base_additional_multiplier,early_game_return_boost_step,end_game_return_base_additional_multiplier,establish_base_smoothed_multiplier,establish_first_base_smoothed_multiplier_correction,establish_base_deposit_multiplier,establish_base_less_halite_ships_multiplier,collect_run_enemy_multiplier,return_base_run_enemy_multiplier,establish_base_run_enemy_multiplier,collect_catch_enemy_multiplier,return_base_catch_enemy_multiplier,establish_base_catch_enemy_multiplier,ignore_catch_prob,max_ships,max_spawns_per_step,nearby_ship_halite_spawn_constant,nearby_halite_spawn_constant,remaining_budget_spawn_constant,spawn_score_threshold,max_spawn_relative_step_divisor,terminal_num_ships,terminal_num_bases,episode_reward,terminal_halite
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,14,2,0.0,3684.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,14,2,0.6666666666666666,3824.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,16,3,0.6666666666666666,4310.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,10,3,0.0,2499.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,16,3,1.0,6568.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,5,2,0.0,1168.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,11,2,0.3333333333333333,3986.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,15,2,1.0,4273.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,7,2,0.3333333333333333,3280.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,13,3,0.6666666666666666,5183.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,9,3,0.6666666666666666,4789.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,13,2,0.6666666666666666,4406.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,12,3,1.0,5300.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,10,3,0.0,2750.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,12,2,1.0,6199.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,14,2,1.0,6732.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,15,3,0.0,3274.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,12,1,1.0,5184.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,13,3,0.0,3433.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,15,2,1.0,6067.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,7,2,1.0,5449.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,16,1,0.6666666666666666,4999.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,13,2,1.0,9329.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,10,2,0.6666666666666666,4236.0
