halite_config_setting_divisor,min_spawns_after_conversions,collect_smoothed_multiplier,collect_actual_multiplier,collect_less_halite_ships_multiplier_base,collect_base_nearest_distance_exponent,return_base_multiplier,return_base_less_halite_ships_multiplier_base,early_game_return_base_additional_multiplier,early_game_return_boost_step,end_game_return_base_additional_multiplier,establish_base_smoothed_multiplier,establish_first_base_smoothed_multiplier_correction,establish_base_deposit_multiplier,establish_base_less_halite_ships_multiplier_base,collect_run_enemy_multiplier,return_base_run_enemy_multiplier,establish_base_run_enemy_multiplier,collect_catch_enemy_multiplier,return_base_catch_enemy_multiplier,establish_base_catch_enemy_multiplier,ignore_catch_prob,max_ships,max_spawns_per_step,nearby_ship_halite_spawn_constant,nearby_halite_spawn_constant,remaining_budget_spawn_constant,spawn_score_threshold,max_spawn_relative_step_divisor,Average win rate
1.0000000000530964,1.0,0.3490839010517748,6.880079646429943,0.9717487663310278,0.7883337576067633,4.51227462525679,0.8003273921411009,2.1720701844361736,74.0,5.608670183933215,0.2630751286530566,0.6155887084129567,0.8733612542753371,0.9814389432694228,7.937891425336058,1.2967364365052971,1.6372521454639313,1.888337042348461,1.1572708086215808,0.9739186510303092,0.4460928216772838,22.0,2.0,1.23107061890883,15.801284061560555,0.1550049458578785,30.404541252013868,194.44961054829184,0.7333333333333333
1.000000000015999,0.0,0.4169774556611249,8.539359148279344,0.9982146701406978,0.3980388008056765,4.933099582549623,0.8015016962685765,1.8543634964832831,148.0,9.589553377444506,0.11440495621289025,0.8128027151907218,0.6260074898656399,0.9623846396923792,14.809288064598135,0.1043872195807876,0.4492934227244012,0.998983047675253,1.139456609162943,1.8598112331739625,0.3562861060705592,17.0,3.0,2.133025540488523,14.59897363229085,0.2924392109490078,63.62206334983257,151.27458476587026,0.6266666666666666
1.0000000000270766,0.0,0.3281491802467561,5.965142142665013,0.8027737080837944,0.3709648494165354,4.906880446461948,0.9187538631319424,1.7829430742276966,146.0,6.151229125637666,0.4794616465252976,1.467859018642849,0.7766713035412535,0.934047866733471,11.197144689417513,0.019217354194684958,0.8175891324598291,1.6088413289779255,1.110716010656324,0.6327974978355716,0.4699024458984261,24.0,2.0,2.5728619994391297,14.314765088982133,0.229282567276804,64.72719604380185,162.1349485217518,0.5866666666666667
1.0000000000810991,0.0,0.478843697916063,4.220241946932303,0.8974933947820448,0.5264209020593114,7.185241752798997,0.9467370537196724,1.1617785516818928,142.0,11.460597012758859,0.07939974365129761,1.2987378580612134,0.9519559042641832,0.8557003974092636,7.762323070023919,0.9657974066413636,0.06724442308158164,0.5614092590855909,1.1188124813112656,0.4789025597650022,0.3144856139730633,19.0,2.0,2.4154979693682206,6.34448334238849,0.10987245155906712,62.56716405251693,51.97185124068703,0.6399999999999999
1.0000000000589768,1.0,0.255195235498593,6.3692339167141485,0.8041137831141097,0.5477480400740316,7.764899318745058,0.9357676836056849,2.8514688656205265,117.0,9.025934544200696,0.16650204031305252,0.6142547136338101,0.5926049535299139,0.9478880539674468,11.303520926693926,1.0969768600523042,0.7905951087983888,0.9584718785952002,0.08806966061536592,0.4930009709847904,0.4893278164993798,21.0,1.0,2.3997110765790883,18.40270755002776,0.1626356854051791,54.5597784567662,132.5448096097715,0.7633333333333334
1.000000000000664,2.0,0.2725106381285146,8.538786038385455,0.9236245832003932,0.6517189247205872,7.845600594429658,0.8033831960945491,2.8414391688927765,74.0,6.680816242079833,0.4765172217606889,0.8891577718680447,0.7361370102725582,0.986712852709578,8.932586650819736,0.039983956978000064,0.6407096681443143,0.3049388125932058,1.6195690335921682,1.722694432001511,0.4888587466165824,18.0,1.0,1.14359868644219,17.540597839956767,0.2464447548935381,82.21020867965983,172.2031121921901,0.6533333333333333
1.0000000000105462,2.0,0.3500869550310488,6.005202358928147,0.966902148540168,0.4268867925163748,4.007273065373163,0.8407653511861366,2.1647452575532844,126.0,7.10411384280042,0.3465585559485581,0.9627448312755178,0.6541955657838483,0.9434869037107176,10.192032486906843,1.2764381688626676,1.0422017740342258,1.8737386896926984,0.9501724773203584,1.1867556936677623,0.4541676506777636,25.0,1.0,0.6582525012809277,5.245265954581166,0.2885014797162567,15.442716396428096,128.1674329318534,0.7266666666666669
1.0000000000898783,2.0,0.11643810059449056,8.329499729304379,0.9081303615617042,0.6237956768896296,5.5708851520207165,0.8972337009708256,2.429695145337436,56.0,8.614257601954904,0.35127952162364345,1.344439244993701,0.7633409864970992,0.9660211939048324,12.626414386675346,0.5837322412027709,4.748549177747755,1.1798856252639889,0.7346198609997682,1.6053035927033117,0.4600159074147973,22.0,1.0,2.1560553884832934,16.534167277702437,0.25432423432972096,98.5434636620637,66.78345419629787,0.8133333333333336
1.000000000043894,0.0,0.3164621858513144,3.611307331229399,0.9735617493601598,0.20766019713745607,6.020176059184696,0.8748872182334283,1.5664233081250916,130.0,11.08808985234679,0.3762998205448059,1.3797713195411443,0.8314091148619098,0.8002691841768685,6.2089917426886165,0.9920803236966448,1.195457192537279,1.7281613716872473,0.6411443045697104,0.185310374844514,0.3963238933275487,22.0,1.0,2.011584949790051,17.693097005536174,0.2265401817120128,64.44972771866439,101.66748696010664,0.7533333333333333
1.0000000000122071,2.0,0.4088679889681189,8.142497617755556,0.8405236321977304,0.3715865525978906,5.011951901198356,0.86930723912176,2.4370150026440878,89.0,14.655902193872798,0.37612200955416536,0.7179125341313104,0.8178106133275446,0.9172599502984378,7.642968967727701,0.7825386636980105,2.002909470447547,0.8187812935470007,0.1374453530917266,0.1085585263776954,0.3613085557351928,25.0,3.0,1.0132599290576665,5.526810202920412,0.12826349521613548,41.919356002991705,92.66874363693177,0.7433333333333332
