Time stamp,Reward Stochastic swarm intelligence,Reward Self play rule_actions_v2 optimum 3 additional rules 5 stochastic
2020-07-03 19:12:49.590245,1.0,0.82
2020-07-03 19:18:53.775554,1.0,0.78
2020-07-03 19:24:55.618197,1.0,0.78
2020-07-03 19:30:42.504062,1.0,0.78
2020-07-03 19:36:36.556352,1.0,0.65
2020-07-03 19:42:25.699743,1.0,0.75
2020-07-03 19:48:13.099952,1.0,0.68
2020-07-03 19:54:07.981144,1.0,0.84
2020-07-03 20:00:05.937228,1.0,0.77
2020-07-03 20:06:08.831677,1.0,0.75
2020-07-03 20:12:18.277105,1.0,0.68
2020-07-03 20:18:15.573872,1.0,0.72
2020-07-03 20:24:22.494778,1.0,0.84
2020-07-03 20:30:20.634055,1.0,0.8
2020-07-03 20:45:57.845468,1.0,0.76
