Time stamp,Average reward self play,Average evaluation reward,Experience buffer size,Data rules path
2020-04-21 21:19:10.195057,0.746666666666667,0.6699999999999998,1600,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_13.json
2020-04-21 21:21:44.673579,0.5900000000000001,0.6566666666666664,1700,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_14.json
2020-04-21 21:24:25.603453,0.6466666666666664,0.5733333333333333,1800,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_14.json
2020-04-21 21:26:56.359283,0.5633333333333332,0.6099999999999999,1900,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_14.json
2020-04-21 21:29:19.081326,0.6333333333333332,0.5733333333333335,2000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_14.json
2020-04-21 21:31:43.673331,0.6000000000000002,0.5966666666666667,2100,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_14.json
2020-04-21 21:34:16.006636,0.6416666666666668,0.563333333333333,2200,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_14.json
2020-04-21 21:36:57.250532,0.6166666666666667,0.4766666666666667,2300,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_14.json
2020-04-21 21:39:31.433238,0.6999999999999998,0.6400000000000002,2400,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_14.json
2020-04-21 21:42:07.318247,0.4733333333333333,0.5766666666666667,2500,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_15.json
2020-04-21 21:44:45.827572,0.6,0.6533333333333338,2600,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_15.json
2020-04-21 21:47:24.660180,0.66,0.6433333333333333,2700,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_16.json
2020-04-21 21:50:05.704019,0.4866666666666666,0.4383333333333333,2800,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_17.json
2020-04-21 21:52:45.781295,0.62,0.5633333333333332,2900,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_17.json
2020-04-21 21:55:27.866532,0.54,0.43999999999999984,3000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_17.json
2020-04-21 21:58:07.575069,0.6216666666666666,0.4233333333333333,3100,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_17.json
2020-04-21 22:00:55.451923,0.4866666666666666,0.4333333333333333,3200,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_17.json
2020-04-21 22:03:42.059237,0.4749999999999999,0.5066666666666666,3300,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_17.json
2020-04-21 22:06:27.693020,0.5666666666666668,0.5199999999999998,3400,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_17.json
2020-04-21 22:09:15.928979,0.6166666666666665,0.6033333333333334,3500,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_17.json
2020-04-21 22:12:03.776715,0.4933333333333333,0.6366666666666664,3600,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-21 22:14:47.193146,0.4166666666666665,0.43833333333333335,3700,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-21 22:17:29.603990,0.4866666666666665,0.4633333333333335,3800,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-21 22:20:14.235964,0.5633333333333331,0.4966666666666669,3900,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-21 22:22:56.720739,0.5666666666666668,0.5016666666666666,4000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-21 22:25:41.962066,0.4633333333333334,0.4400000000000003,4100,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-21 22:28:30.244351,0.40833333333333344,0.4900000000000002,4200,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-21 22:31:12.460447,0.4433333333333332,0.6633333333333333,4300,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-21 22:33:56.283880,0.6299999999999998,0.5766666666666667,4400,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-21 22:36:41.455129,0.5099999999999997,0.5233333333333331,4500,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-21 22:39:29.507688,0.3366666666666667,0.4866666666666667,4600,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-21 22:42:13.217909,0.53,0.45,4700,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-21 22:44:53.623410,0.6400000000000001,0.5566666666666668,4800,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-21 22:47:38.224238,0.44,0.4533333333333338,4900,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-21 22:50:24.066300,0.5500000000000002,0.3966666666666667,5000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-21 22:53:08.607858,0.4533333333333334,0.4800000000000002,5100,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-21 22:55:47.039170,0.33,0.4966666666666666,5200,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-21 22:58:32.985005,0.6333333333333331,0.4233333333333333,5300,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-21 23:01:20.426703,0.4533333333333336,0.3833333333333333,5400,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-21 23:04:11.912330,0.4633333333333333,0.51,5500,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-21 23:06:56.882426,0.4533333333333334,0.55,5600,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-21 23:09:39.205018,0.4133333333333333,0.3900000000000001,5700,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-21 23:12:29.704729,0.46,0.4633333333333333,5800,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-21 23:15:20.662397,0.5533333333333332,0.3533333333333332,5900,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-21 23:18:10.307070,0.5000000000000001,0.37,6000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-21 23:20:55.930164,0.54,0.4366666666666666,6100,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-21 23:23:41.611023,0.5766666666666665,0.5133333333333334,6200,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-21 23:26:26.919314,0.4366666666666667,0.5233333333333333,6300,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-21 23:29:17.309424,0.25,0.4266666666666665,6400,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-21 23:32:10.193360,0.40500000000000014,0.4866666666666666,6500,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-21 23:35:07.038037,0.4633333333333334,0.4366666666666667,6600,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-21 23:37:50.456834,0.4333333333333334,0.3433333333333333,6700,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-21 23:40:36.924972,0.3466666666666666,0.4566666666666668,6800,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-21 23:43:17.437574,0.5283333333333335,0.4500000000000001,6900,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
